City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,vestmannaeyjar,63.4427,-20.2734,5.6,78,100,6.13,IS,1677874538
148,hailin,44.5833,129.4167,-11.37,89,4,0.42,CN,1677874571
149,ati,13.2154,18.3353,29.93,8,57,2.92,TD,1677874676
150,roma,43.2128,-75.4557,4.37,45,0,7.2,US,1677874134
151,makakilo city,21.3469,-158.0858,24.27,84,75,2.57,US,1677874540
152,juneau,58.3019,-134.4197,1.0,90,100,0.0,US,1677874676
153,mercedes,-34.6515,-59.4307,36.64,19,3,4.52,AR,1677874539
154,sola,-13.8833,167.55,27.84,81,100,12.04,VU,1677874546
155,nantucket,41.2835,-70.0995,6.16,61,0,1.54,US,1677874677
156,buala,-8.145,159.5921,24.92,94,100,3.32,SB,1677874677
157,grindavik,63.8424,-22.4338,4.26,100,75,4.63,IS,1677874492
158,burgos,42.3394,-3.7079,2.23,87,100,2.06,ES,1677874172
159,mnogovershinnyy,53.9353,139.9242,-19.86,96,81,1.95,RU,1677874677
160,nemuro,43.3236,145.575,-3.53,77,13,1.44,JP,1677874677
161,grootfontein,-19.5667,18.1167,24.35,28,38,4.0,NA,1677874677
162,luderitz,-26.6481,15.1594,16.55,92,2,3.74,NA,1677874504
163,san jeronimo,-11.9472,-75.2829,17.36,54,100,2.29,PE,1677874678
164,shenjiamen,29.9576,122.298,8.96,74,15,2.82,CN,1677874544
165,aripuana,-9.1667,-60.6333,28.52,82,91,0.19,BR,1677874678
166,grand baie,-20.0182,57.5802,26.36,76,97,4.76,MU,1677874678
167,rio grande,-32.035,-52.0986,25.06,85,100,4.77,BR,1677874526
168,saint-ambroise,48.5501,-71.3324,-8.01,57,6,1.65,CA,1677874519
169,bayonet point,28.3267,-82.6834,30.1,66,30,2.68,US,1677874678
170,narok,-1.0783,35.8601,17.09,66,89,0.49,KE,1677874678
171,kyren,51.6828,102.1408,-3.57,69,100,1.78,RU,1677874491
172,kodiak,57.79,-152.4072,-4.27,36,0,18.01,US,1677874494
173,saint-joseph,-21.3667,55.6167,26.21,81,96,1.86,RE,1677874678
174,mataura,-46.1927,168.8643,11.06,75,100,0.87,NZ,1677874490
175,pocone,-16.2567,-56.6228,33.95,42,99,0.84,BR,1677874678
176,scarborough,54.2797,-0.4044,5.76,79,100,1.79,GB,1677874625
177,puerto ayora,-0.7393,-90.3518,30.98,81,76,2.24,EC,1677874502
178,kefamenanu,-9.4467,124.4781,21.21,86,100,0.88,ID,1677874679
179,semey,50.4111,80.2275,-5.97,81,47,4.88,KZ,1677874439
180,phan thiet,10.9333,108.1,21.28,75,100,3.7,VN,1677874679
181,nybro,56.7446,15.9071,3.47,71,84,3.83,SE,1677874098
182,iqaluit,63.7506,-68.5145,-9.15,85,100,1.54,CA,1677874515
183,kaitangata,-46.2817,169.8464,11.56,84,100,1.83,NZ,1677874510
184,tual,-5.6667,132.75,27.97,80,98,8.92,ID,1677874518
185,abu dhabi,24.4667,54.3667,23.86,72,0,3.09,AE,1677874237
186,cairns,-16.9167,145.7667,23.97,100,40,0.0,AU,1677874456
187,sept-iles,50.2001,-66.3821,-5.71,43,20,8.23,CA,1677874541
188,abu kamal,34.4506,40.9171,20.58,37,100,5.16,SY,1677874536
189,port lincoln,-34.7333,135.8667,15.6,86,10,2.66,AU,1677874530
190,kavieng,-2.5744,150.7967,25.57,87,100,5.54,PG,1677874510
191,kruisfontein,-34.0033,24.7314,21.6,80,100,3.35,ZA,1677874545
192,airai,-8.9266,125.4092,15.05,95,80,1.05,TL,1677874516
193,bandarbeyla,9.4942,50.8122,24.99,73,9,6.87,SO,1677874680
194,bijie,27.3125,105.2942,6.24,83,100,1.53,CN,1677874680
195,katyuzhanka,50.806,30.1376,1.87,74,100,4.16,UA,1677874681
196,bambous virieux,-20.3428,57.7575,26.23,88,40,2.57,MU,1677874538
197,san cristobal,7.7669,-72.225,28.1,46,21,3.05,VE,1677874524
198,bengkulu,-3.8004,102.2655,23.59,92,100,3.14,ID,1677874492
199,kholtoson,50.2981,103.3097,-9.39,77,73,2.04,RU,1677874681
200,novomykolayivka,47.9781,35.9102,2.04,68,28,4.25,UA,1677874681
201,progreso,21.2833,-89.6667,37.28,36,100,3.19,MX,1677874545
202,chernyshevskiy,63.0128,112.4714,-12.58,94,76,1.97,RU,1677874681
203,lahat,-3.8,103.5333,20.88,97,100,1.25,ID,1677874681
204,baglan,36.1307,68.7083,15.01,49,57,1.34,AF,1677874682
205,alexandria,31.2156,29.9553,17.24,78,0,3.16,EG,1677874190
206,mahibadhoo,3.7833,72.9667,27.42,75,15,7.47,MV,1677874682
207,ahipara,-35.1667,173.1667,18.41,84,22,2.95,NZ,1677874528
208,biak,-0.9131,122.8766,24.56,85,100,2.14,ID,1677874682
209,taman,45.2117,36.7161,5.15,49,100,2.19,RU,1677874682
210,hasaki,35.7333,140.8333,6.79,77,100,2.2,JP,1677874505
211,tanabe,33.7333,135.3667,4.94,55,86,2.29,JP,1677874682
212,kavaratti,10.5669,72.642,27.28,69,0,2.2,IN,1677874516
213,grand island,40.925,-98.342,11.16,45,33,1.79,US,1677874682
214,hambantota,6.1241,81.1185,25.49,78,99,7.38,LK,1677874499
215,katsuura,35.1333,140.3,9.77,75,79,4.91,JP,1677874500
216,ziro,27.6333,93.8333,6.32,78,11,1.06,IN,1677874683
217,osinniki,53.6239,87.3598,-3.28,91,100,6.61,RU,1677874420
218,sao joao da barra,-21.6403,-41.0511,29.05,83,99,7.07,BR,1677874526
219,vanderhoof,54.0166,-124.0198,-0.49,73,99,3.67,CA,1677874683
220,avera,33.194,-82.5271,26.97,58,98,10.82,US,1677874522
221,ancud,-41.8697,-73.8203,14.2,57,54,1.59,CL,1677874542
222,mendota,36.7536,-120.3816,12.96,55,5,2.08,US,1677874683
223,trelew,-43.249,-65.3051,19.3,34,100,9.65,AR,1677874683
224,general pico,-35.6566,-63.7568,40.65,10,0,4.51,AR,1677874683
225,coihaique,-45.5752,-72.0662,11.97,47,75,3.6,CL,1677874550
226,lingao,19.9103,109.6859,17.72,86,0,3.4,CN,1677874684
227,bambanglipuro,-7.95,110.2833,23.83,89,71,1.25,ID,1677874509
228,miri,4.4148,114.0089,24.08,88,40,1.03,MY,1677874684
229,fort nelson,58.8053,-122.7002,-10.59,63,75,2.57,CA,1677874512
230,magistralnyy,56.1725,107.4458,-7.3,93,100,1.65,RU,1677874584
231,east london,-33.0153,27.9116,24.56,78,100,2.65,ZA,1677874417
232,laguna,38.421,-121.4238,15.35,57,0,3.6,US,1677874516
233,san quintin,30.4833,-115.95,14.51,61,12,6.78,MX,1677874544
234,soe,-9.8607,124.284,18.71,90,100,1.52,ID,1677874491
235,fortuna,40.5982,-124.1573,9.96,66,0,2.57,US,1677874512
236,pecos,31.4229,-103.4932,21.25,14,0,5.66,US,1677874684
237,lata,40.1629,-8.3327,8.84,80,100,0.46,PT,1677874496
238,beringovskiy,63.05,179.3167,-22.28,91,100,2.9,RU,1677874509
239,hutchinson,38.0608,-97.9298,14.85,35,0,1.54,US,1677874540
240,santa vitoria,-18.8386,-50.1214,29.98,53,65,1.33,BR,1677874685
241,nouadhibou,20.931,-17.0347,19.99,73,91,6.69,MR,1677874685
242,lazaro cardenas,17.9583,-102.2,27.85,56,22,4.56,MX,1677874685
243,ust-ishim,57.6935,71.1665,-14.08,95,96,3.07,RU,1677874685
244,guanajuato,21.0186,-101.2591,25.44,16,2,5.21,MX,1677874685
245,palauig,15.435,119.9045,23.21,73,12,2.22,PH,1677874685
246,emerald,-23.5333,148.1667,20.75,91,100,4.53,AU,1677874686
247,bhawana,31.5692,72.649,16.82,53,71,2.41,PK,1677874686
248,mahebourg,-20.4081,57.7,26.25,88,40,2.57,MU,1677874520
249,lorengau,-2.0226,147.2712,26.28,85,100,6.71,PG,1677874544
250,mariakani,-3.8633,39.4736,23.2,91,54,3.44,KE,1677874686
251,kitimat,54.0524,-128.6534,2.73,46,100,0.39,CA,1677874518
252,baraya,3.1533,-75.0531,33.89,37,86,0.5,CO,1677874686
253,tupik,54.4253,119.9327,-8.45,94,100,1.79,RU,1677874686
254,vao,-22.6667,167.4833,25.43,88,100,9.47,NC,1677874528
255,manokwari,-0.8667,134.0833,25.24,82,100,3.52,ID,1677874507
256,alugan,12.2188,125.4808,24.58,83,65,4.99,PH,1677874687
257,nuevitas,21.5453,-77.2644,29.2,54,0,6.26,CU,1677874687
258,half moon bay,37.4636,-122.4286,15.88,73,0,4.12,US,1677874687
259,saint-augustin,51.226,-58.6502,-6.17,73,6,8.4,CA,1677874546
260,benghazi,32.1167,20.0667,21.39,34,100,8.9,LY,1677874687
261,olafsvik,64.8945,-23.7142,4.58,81,100,4.79,IS,1677874687
262,porkhov,57.765,29.5561,-2.73,95,100,3.49,RU,1677874688
263,tevaitoa,-16.7833,-151.5,27.45,72,64,1.36,PF,1677874688
264,chuy,-33.6971,-53.4616,28.62,56,100,5.25,UY,1677874500
265,husavik,66.0449,-17.3389,-0.4,88,82,3.81,IS,1677874515
266,soyo,-6.1349,12.3689,26.81,79,96,4.97,AO,1677874514
267,jagannathpur,22.2333,85.65,21.2,25,0,1.41,IN,1677874688
268,george town,5.4112,100.3354,24.97,99,20,1.03,MY,1677874585
269,avarua,-21.2078,-159.775,29.03,70,65,2.06,CK,1677874502
270,petropavlovsk-kamchatskiy,53.0452,158.6483,-13.67,52,0,6.0,RU,1677874546
271,tacoronte,28.4769,-16.4102,16.75,90,75,4.63,ES,1677874688
272,quzhou,28.9594,118.8686,9.22,74,6,2.04,CN,1677874605
273,matamoros,25.5333,-103.25,21.73,10,0,2.57,MX,1677874689
274,fallon,39.4735,-118.7774,7.93,41,20,2.57,US,1677874545
275,el seibo,18.7641,-69.0375,28.74,48,93,4.28,DO,1677874689
276,puerto leguizamo,-0.1934,-74.7819,30.43,60,91,1.58,CO,1677874528
277,riyadh,24.6877,46.7219,21.08,24,0,4.14,SA,1677874272
278,ucluelet,48.9329,-125.5528,2.83,91,100,0.45,CA,1677874523
279,marrakesh,31.6315,-8.0083,17.04,72,75,1.54,MA,1677874667
280,wanning,18.8003,110.3967,18.48,82,61,3.07,CN,1677874689
281,borovskoy,53.8,64.15,-7.31,91,94,6.21,KZ,1677874689
282,chardara,41.2547,67.9692,7.11,62,100,3.72,KZ,1677874689
283,tromso,69.6496,18.957,-2.99,68,40,7.2,NO,1677874520
284,aksarka,66.5606,67.7975,-25.59,95,91,1.68,RU,1677874531
285,ambilobe,-13.2,49.05,22.81,96,75,0.5,MG,1677874493
286,kulhudhuffushi,6.6221,73.07,26.87,75,2,3.61,MV,1677874690
287,cidreira,-30.1811,-50.2056,23.9,87,100,2.29,BR,1677874491
288,uusikaupunki,60.8004,21.4084,0.38,91,100,13.98,FI,1677874690
289,cabedelo,-6.9811,-34.8339,29.37,72,77,5.35,BR,1677874522
290,komsomolskiy,40.4272,71.7189,7.4,76,89,3.09,UZ,1677874690
291,machali,-34.1833,-70.6667,28.6,34,0,5.14,CL,1677874690
292,saint-pierre,-21.3393,55.4781,26.82,69,0,2.57,RE,1677874524
293,chernukha,55.5974,43.7556,-1.73,95,94,3.69,RU,1677874690
